"TOI"	"Determiner"	"NounOnset_adjusted"	"EndingOffset_adjusted"	"Phonol_Overlap_T"
"78"	"Trial39-pos-leche_0"	"Possessive"	151	588	"First Syll-stressed"
"79"	"Trial40-def-sobre_0"	"Definite"	72	518	"First Syll-stressed"
"80"	"Trial40-pos-sobre_0"	"Possessive"	146	574	"First Syll-stressed"
"81"	"Trial41-def-mujer_0"	"Definite"	113	544	"First Syll-unstressed"
"82"	"Trial41-pos-mujer_0"	"Possessive"	120	545	"First Syll-unstressed"
"83"	"Trial42-def-escorpion_0"	"Definite"	105	756	"First Syll-unstressed"
"84"	"Trial42-pos-escorpion_0"	"Possessive"	112	772	"First Syll-unstressed"
"85"	"Trial43-def-sal_0"	"Definite"	116	478	"First Syll-stressed"
"86"	"Trial43-pos-sal_0"	"Possessive"	130	508	"First Syll-stressed"
"87"	"Trial44-def-tren_0"	"Definite"	112	512	"First Syll-stressed"
"88"	"Trial44-pos-tren_0"	"Possessive"	152	478	"First Syll-stressed"
"89"	"Trial45-def-lombriz_0"	"Definite"	119	683	"First Syll-unstressed"
"90"	"Trial45-pos-lombriz_0"	"Possessive"	139	721	"First Syll-unstressed"
"91"	"Trial46-def-doctor_0"	"Definite"	92	524	"First Syll-unstressed"
"92"	"Trial46-pos-doctor_0"	"Possessive"	149	606	"First Syll-unstressed"
"93"	"Trial47-def-red_0"	"Definite"	153	365	"First Syll-stressed"
"94"	"Trial47-pos-red_0"	"Possessive"	168	468	"First Syll-stressed"
"95"	"Trial48-def-camion_0"	"Definite"	70	594	"First Syll-unstressed"
"96"	"Trial48-pos-camion_0"	"Possessive"	121	599	"First Syll-unstressed"
