"","TOI","ArticleOnset","NounOnset","EndingOnset","EndingOffset","Remaining","Prompt","SentDur","CarrierDur","DeterminerDur","PhonOverlapDur","EndingDur","RemainDur","Timeline","ArticleOnset_adjusted","NounOnset_adjusted","EndingOnset_adjusted","EndingOffset_adjusted","Remaining_adjusted"
"45","Trial45-pos-lombriz_0",2502,2641,2756,3223,3259,"Donde esta mi lombriz",1259,502,139,115,467,36,"VersionA",0,139,254,721,757
"46","Trial46-pos-doctor_0",2453,2602,2697,3059,3144,"Donde esta mi doctor",1144,453,149,95,362,85,"VersionA",0,149,244,606,691
"47","Trial47-pos-red_0",2447,2615,2834,2915,3083,"Donde esta mi red",1083,447,168,219,81,168,"VersionA",0,168,387,468,636
"48","Trial48-pos-camion_0",2435,2556,2695,3034,3187,"Donde esta mi camion",1187,435,121,139,339,153,"VersionA",0,121,260,599,752
"49","Trial01-pos-campesina_0",2638,2784,3411,3546,3656,"Donde esta mi campesina",1656,638,146,627,135,110,"VersionB",0,146,773,908,1018
"50","Trial02-pos-perro_0",2568,2706,3034,3134,3267,"Donde esta mi perro",1267,568,138,328,100,133,"VersionB",0,138,466,566,699
"51","Trial03-pos-pesa_0",2448,2592,2952,3051,3208,"Donde esta mi pesa",1208,448,144,360,99,157,"VersionB",0,144,504,603,760
"52","Trial04-pos-palo_0",2510,2649,2971,3060,3137,"Donde esta mi palo",1137,510,139,322,89,77,"VersionB",0,139,461,550,627
"53","Trial05-pos-coneja_0",2656,2782,3201,3296,3442,"Donde esta mi coneja",1442,646,136,419,95,146,"VersionB",0,126,545,640,786
"54","Trial06-pos-brujo_0",2559,2700,3025,3106,3302,"Donde esta mi brujo",1302,559,141,325,81,196,"VersionB",0,141,466,547,743
"55","Trial07-pos-ramo_0",2553,2669,3026,3120,3267,"Donde esta mi ramo",1267,553,146,327,94,147,"VersionB",0,116,473,567,714
"56","Trial08-pos-puerta_0",2469,2613,3007,3122,3245,"Donde esta mi puerta",1245,469,144,394,115,123,"VersionB",0,144,538,653,776
"57","Trial09-def-cocinera_0",2494,2595,3125,3239,3361,"Donde esta la cocinera",1361,494,101,530,114,122,"VersionB",0,101,631,745,867
"58","Trial10-def-oso_0",2472,2615,2887,2994,3107,"Donde esta el oso",1107,472,143,272,107,113,"VersionB",0,143,415,522,635
"59","Trial11-def-ojo_0",2509,2675,2910,3003,3125,"Donde esta el ojo",1125,509,166,235,93,122,"VersionB",0,166,401,494,616
"60","Trial12-def-raya_0",2453,2605,2888,3008,3148,"Donde esta la raya",1148,453,152,283,120,140,"VersionB",0,152,435,555,695
"61","Trial13-def-gata_0",2543,2681,3026,3133,3313,"Donde esta la gata",1313,543,138,345,107,180,"VersionB",0,138,483,590,770
"62","Trial14-def-maestro_0",2416,2507,3047,3155,3262,"Donde esta el maestro",1262,416,91,540,108,107,"VersionB",0,91,631,739,846
"63","Trial15-def-vela_0",2581,2713,2997,3112,3332,"Donde esta la vela",1332,581,132,284,115,220,"VersionB",0,132,416,531,751
"64","Trial16-def-plato_0",2454,2557,2976,3063,3230,"Donde esta el plato",1230,454,103,419,87,167,"VersionB",0,103,522,609,776
